;descrizione;prezzo;location;link;immagine
10;iMac;150.0;Santhià, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/1047503526121395/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/278580781_5182230988512667_7554764414018041178_n.png?stp=c4.0.260.260a_dst-png_p261x260&_nc_cat=101&ccb=1-5&_nc_sid=c48759&_nc_ohc=4vWo1-AUD-gAX9cO7mq&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT9o7Gj6Kd1GU5qHCQVaL_n_UISIWXcG8U44cUBZPbbaEA&oe=62787B81"">"
11;iMac late 2011 PER RICAMBI;200.0;Torino, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/354414346130863/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/271445444_4759021524181420_437803211169659028_n.png?stp=c43.0.260.260a_dst-png_p261x260&_nc_cat=108&ccb=1-5&_nc_sid=c48759&_nc_ohc=bOA6H8bCFBoAX8vPuaV&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT-tYZt5wIt2DryoCP8IpIoz0Iva0WErCyA4G1qjZ4-3Rg&oe=6278662A"">"
12;IMac G5;200.0;Sangano, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/698367164537109/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/277914341_4980951548607172_4802136978794392670_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260&_nc_cat=110&ccb=1-5&_nc_sid=c48759&_nc_ohc=h1tHdFTLw4gAX_LIA2s&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT-bO32fHPfPp8ep0fS4I_s44BKx3OqDJ66HcdLlgpg-GQ&oe=6277E7A7"">"
13;Imac 21,5 pollici;230.0;Sant'Antonino di Susa, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/295509722464298/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/261985662_6485821381490514_277178558044545179_n.png?stp=c43.0.260.260a_dst-png_p261x260&_nc_cat=110&ccb=1-5&_nc_sid=c48759&_nc_ohc=5Pid8cAVpqEAX-ATu8c&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT_taN-nucSwCk6KzS2utmnUMrM8WHGz_pcEAgUyIk1B-g&oe=627804C7"">"
14;iMac 21.5 Mid 2011;250.0;Barge, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/501117328210386/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/275848921_7185981324806249_8670704443478757530_n.png?stp=c0.151.261.261a_dst-png_p261x260&_nc_cat=100&ccb=1-5&_nc_sid=c48759&_nc_ohc=hbYwpy-0XCcAX8B2bvE&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT9-yzYUrHz8P6n9FQsEIby91dwZl7UbZFRJ49DMZ7pF0w&oe=6277A157"">"
15;Computer;250.0;Orbassano, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/510533797232755/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/278976118_5201541953238409_5847960481977996979_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260&_nc_cat=110&ccb=1-5&_nc_sid=c48759&_nc_ohc=2946T6evTLsAX_8gPDX&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT_FynGniFhAdNy3dNutVlI75ZcH9fHbDc9NKdDx-NMF7Q&oe=6277D6F7"">"
16;iMac 21” 2011;260.0;Alpignano, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/435940271550263/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/276123194_5195614513794224_2892198277940811377_n.png?stp=c24.0.260.260a_dst-png_p261x260&_nc_cat=109&ccb=1-5&_nc_sid=c48759&_nc_ohc=XUbfKNsSi2MAX8lBt9p&_nc_oc=AQlngXxpddrS76UqTCruBVr682eonUzOzL_oOcqJ7Ab84tRMVq5NSLdOzocl1omBj1Y&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT_5KBqLPpCsVvQ5tTU911Yzt9b1wHwiZo4Pff-WKy77hg&oe=627722C7"">"
17;Imac 21,5 i5;280.0;Torino, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/1385196108562550/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/261991637_5254509644564358_2732855339107664639_n.png?stp=c0.43.261.261a_dst-png_p261x260&_nc_cat=110&ccb=1-5&_nc_sid=c48759&_nc_ohc=VICHR0VgSQIAX8FFH33&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT_K8P3sWU4m7AjJrWu4M8fQ9xxxHpyFRpDGSSRqPEjQwg&oe=62770179"">"
18;iMac 21,5 pollici processore i3;290.0;Torino, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/690193918900555/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/273939007_5050813358339821_193495664269017872_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=110&ccb=1-5&_nc_sid=c48759&_nc_ohc=-FDbQyC5YuIAX9Ov_mD&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT9FsYxXKTRhX4Q6ryQmEEbSNKJ26vhYjmprlr6xWF5a4Q&oe=62774870"">"
19;iMac;300.0;Torino, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/2820318038114368/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/278787815_5362882473735553_5769676560924818010_n.png?stp=c43.0.260.260a_dst-png_p261x260&_nc_cat=101&ccb=1-5&_nc_sid=c48759&_nc_ohc=SHpJ80FF1nkAX9uY_ms&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT-wSpvuZAMk48_tNIrt1BDZL49PjyqlS0WxBcfzQ5ElLA&oe=62785777"">"
